phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1
PHASE1_TRAIN,2017-11-23,3,3,1,0.9848,0.1217,0.4988,0.2066,0.1991
PHASE1_TRAIN,2016-08-18,3,3,1,0.9844,0.1373,0.3333,0.1604,0.1419
PHASE1_TRAIN,2016-08-10,3,3,1,0.9759,0.1998,0.396,0.1759,0.1593
PHASE1_TRAIN,2016-08-02,3,3,1,0.9714,0.2277,0.4386,0.1823,0.1661
PHASE1_TRAIN,2016-08-01,3,3,1,0.971,0.225,0.4353,0.1817,0.1654
PHASE1_TRAIN,2016-08-25,3,3,1,0.9704,0.2374,0.4853,0.189,0.1731
PHASE1_TRAIN,2016-08-26,3,3,1,0.9686,0.2504,0.4872,0.1893,0.1734
PHASE1_TRAIN,2016-08-23,3,3,1,0.9682,0.2502,0.3462,0.1682,0.1494
PHASE1_TRAIN,2016-08-09,3,3,1,0.9677,0.248,0.3919,0.1751,0.1584
PHASE1_TRAIN,2016-08-24,3,3,1,0.9664,0.2615,0.4834,0.1887,0.1727
PHASE1_TRAIN,2016-08-26,3,3,1,0.9664,0.2554,0.3377,0.1658,0.1502
PHASE1_TRAIN,2016-08-23,3,3,1,0.9633,0.2804,0.4815,0.1885,0.1724
PHASE1_TRAIN,2016-07-28,3,3,1,0.9624,0.2834,0.4929,0.1901,0.174
PHASE1_TRAIN,2016-08-10,3,3,1,0.9602,0.2813,0.4636,0.1859,0.1689
PHASE1_TRAIN,2016-08-17,3,3,1,0.957,0.3084,0.4026,0.1757,0.1598
PHASE1_TRAIN,2016-08-15,3,3,1,0.9569,0.3045,0.4449,0.1849,0.1676
PHASE1_TRAIN,2016-08-22,3,3,1,0.9568,0.3181,0.4796,0.1882,0.172
PHASE1_TRAIN,2016-08-10,3,3,1,0.954,0.3257,0.5137,0.1864,0.1717
PHASE1_TRAIN,2016-08-25,3,3,1,0.9533,0.3315,0.4125,0.1778,0.1613
PHASE1_TRAIN,2016-07-29,3,3,1,0.9528,0.3222,0.432,0.1812,0.1647
PHASE1_TRAIN,2016-07-25,3,3,1,0.9511,0.3331,0.3577,0.1679,0.1511
PHASE1_TRAIN,2016-08-30,3,3,1,0.9468,0.3658,0.4909,0.1898,0.1741
PHASE1_TRAIN,2016-08-17,3,3,1,0.9433,0.3632,0.4496,0.1856,0.1685
PHASE1_TRAIN,2016-08-19,3,3,1,0.9396,0.4054,0.4776,0.1879,0.1716
PHASE1_TRAIN,2016-08-09,3,3,1,0.9375,0.3813,0.4615,0.1856,0.1685
PHASE1_TRAIN,2016-08-24,3,3,1,0.9375,0.4041,0.4372,0.1848,0.169
PHASE1_TRAIN,2016-08-18,3,3,1,0.9351,0.4404,0.5378,0.1901,0.1759
PHASE1_TRAIN,2016-08-10,3,3,1,0.9344,0.436,0.5339,0.1896,0.1754
PHASE1_TRAIN,2016-08-12,3,3,1,0.9331,0.4244,0.4426,0.1845,0.1671
PHASE1_TRAIN,2016-08-10,3,3,1,0.9329,0.4297,0.4341,0.1854,0.1699
PHASE1_TRAIN,2016-08-09,3,3,1,0.9321,0.4309,0.5125,0.1863,0.1715
PHASE1_TRAIN,2016-07-29,3,3,1,0.9313,0.4581,0.5045,0.1898,0.1745
PHASE1_TRAIN,2016-07-28,3,3,1,0.93,0.471,0.5153,0.1871,0.1727
PHASE1_TRAIN,2016-07-28,3,3,1,0.9258,0.4812,0.5268,0.1887,0.1743
PHASE1_TRAIN,2016-08-26,3,3,1,0.9247,0.4616,0.528,0.1825,0.1703
