phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc
PHASE1_TRAIN,2016-08-23,7,7,1,0.9491,0.3632,0.3919
PHASE1_TRAIN,2016-08-11,7,7,1,0.9204,0.5782,0.3873
PHASE1_TRAIN,2016-08-10,7,7,1,0.8904,0.724,0.3855
PHASE1_TRAIN,2016-08-10,7,7,1,0.8666,0.7738,0.3415
PHASE1_TRAIN,2016-08-10,7,7,1,0.8368,0.9835,0.384
PHASE1_TRAIN,2016-08-09,7,7,1,0.8331,0.9605,0.3825
PHASE1_TRAIN,2016-08-12,7,7,1,0.8319,0.9857,0.3922
PHASE1_TRAIN,2016-08-29,7,7,1,0.8307,1.0772,0.3841
PHASE1_TRAIN,2016-08-09,7,7,1,0.8288,0.9919,0.3837
PHASE1_TRAIN,2017-11-14,7,7,1,0.8194,0.9862,0.3672
PHASE1_TRAIN,2016-08-25,7,7,1,0.8164,1.0796,0.3312
PHASE1_TRAIN,2016-09-12,10,10,1,0.8154,1.118,0.3685
PHASE1_TRAIN,2016-08-15,7,7,1,0.8111,1.1296,0.3889
PHASE1_TRAIN,2016-10-31,7,7,1,0.8111,1.1645,0.3574
PHASE1_TRAIN,2016-11-10,10,10,1,0.8104,1.1538,0.3597
PHASE1_TRAIN,2016-09-20,7,7,1,0.8001,1.1922,0.3716
PHASE1_TRAIN,2016-09-29,7,7,1,0.7985,1.1706,0.3728
PHASE1_TRAIN,2016-08-04,7,7,1,0.7938,0.7602,0.4
PHASE1_TRAIN,2016-08-18,7,7,1,0.7897,0.9707,0.3412
PHASE1_TRAIN,2016-09-27,7,7,1,0.7896,1.1898,0.3811
PHASE1_TRAIN,2016-10-04,7,7,1,0.7891,1.1344,0.3844
PHASE1_TRAIN,2016-08-11,7,7,1,0.7849,1.2011,0.386
PHASE1_TRAIN,2016-08-15,7,7,1,0.7843,1.157,0.3883
PHASE1_TRAIN,2016-10-10,7,7,1,0.7832,1.0298,0.3704
PHASE1_TRAIN,2016-08-24,7,7,1,0.7773,0.8739,0.3617
PHASE1_TRAIN,2016-08-16,7,7,1,0.7766,1.267,0.3947
PHASE1_TRAIN,2016-08-11,7,7,1,0.7765,1.1312,0.3447
PHASE1_TRAIN,2016-09-19,7,7,1,0.7694,1.2826,0.3708
PHASE1_TRAIN,2016-08-12,7,7,1,0.7688,1.1733,0.3352
PHASE1_TRAIN,2016-09-26,7,7,1,0.7646,1.2809,0.3801
PHASE1_TRAIN,2016-08-26,7,7,1,0.7641,1.3495,0.3826
PHASE1_TRAIN,2016-08-05,7,7,1,0.7637,1.3846,0.3903
PHASE1_TRAIN,2016-10-31,7,7,1,0.7628,1.3654,0.3592
PHASE1_TRAIN,2016-09-23,7,7,1,0.7603,1.3613,0.3841
PHASE1_TRAIN,2016-08-04,7,7,1,0.7601,0.8869,0.3636
PHASE1_TRAIN,2016-10-07,7,7,1,0.7587,1.2823,0.3746
PHASE1_TRAIN,2016-08-09,7,7,1,0.7573,0.8606,0.375
PHASE1_TRAIN,2016-09-30,7,7,1,0.7552,1.3907,0.3736
PHASE1_TRAIN,2016-08-19,7,7,1,0.7529,0.849,0.375
PHASE1_TRAIN,2016-10-07,7,7,1,0.7512,1.1882,0.3827
PHASE1_TRAIN,2019-07-30,7,7,1,0.7481,1.5596,0.3529
PHASE1_TRAIN,2017-05-31,7,7,1,0.745,1.2371,0.3636
PHASE1_TRAIN,2016-08-12,7,7,1,0.7426,1.1301,0.3577
PHASE1_TRAIN,2021-01-01,7,7,1,0.7418,1.4084,0.3508
PHASE1_TRAIN,2016-08-10,7,7,1,0.7403,0.8669,0.4444
PHASE1_TRAIN,2016-08-25,7,7,1,0.7387,1.4621,0.3952
PHASE1_TRAIN,2020-12-11,7,7,1,0.738,1.5975,0.3482
PHASE1_TRAIN,2016-08-10,7,7,1,0.7378,1.3532,0.3525
PHASE1_TRAIN,2016-11-04,7,7,1,0.7369,1.452,0.3577
PHASE1_TRAIN,2016-08-19,7,7,1,0.7363,1.3003,0.3872
PHASE1_TRAIN,2016-10-07,7,7,1,0.735,1.3774,0.3738
PHASE1_TRAIN,2016-08-05,7,7,1,0.7347,1.452,0.345
PHASE1_TRAIN,2016-08-11,7,7,1,0.7338,1.2786,0.3525
PHASE1_TRAIN,2016-08-22,7,7,1,0.7337,1.312,0.3815
PHASE1_TRAIN,2016-08-23,7,7,1,0.731,1.3672,0.3927
PHASE1_TRAIN,2016-08-10,7,7,1,0.7307,1.3793,0.3917
PHASE1_TRAIN,2016-09-21,7,7,1,0.7292,1.4186,0.3821
PHASE1_TRAIN,2016-09-26,7,7,1,0.7289,1.3296,0.3759
PHASE1_TRAIN,2016-11-03,7,7,1,0.7283,1.4525,0.3573
PHASE1_TRAIN,2016-08-03,7,7,1,0.7283,0.9751,0.3438
PHASE1_TRAIN,2016-10-07,7,7,1,0.7281,1.3692,0.3735
PHASE1_TRAIN,2016-10-12,7,7,1,0.7279,1.5744,0.3571
PHASE2_UPGRADE,2023-06-05,7,7,1,0.726,1.5486,0.352
PHASE1_TRAIN,2016-11-02,7,7,1,0.7236,1.3124,0.3591
PHASE1_TRAIN,2018-02-06,10,10,1,0.7233,1.5278,0.3685
PHASE1_TRAIN,2016-11-04,7,7,1,0.7224,1.489,0.3583
PHASE1_TRAIN,2016-08-19,7,7,1,0.7196,1.4603,0.3716
PHASE1_TRAIN,2016-08-15,7,7,1,0.7195,1.092,0.3837
PHASE1_TRAIN,2016-08-23,7,7,1,0.7177,0.9361,0.3478
PHASE1_TRAIN,2016-08-26,7,7,1,0.7177,1.4451,0.386
PHASE1_TRAIN,2017-11-13,7,7,1,0.7173,1.6069,0.3655
PHASE1_TRAIN,2020-12-07,7,7,1,0.7172,1.687,0.3481
PHASE1_TRAIN,2016-08-26,7,7,1,0.717,1.0426,0.3878
PHASE1_TRAIN,2017-11-09,7,7,1,0.7162,1.2792,0.3671
PHASE1_TRAIN,2016-07-22,7,7,1,0.7161,1.3829,0.3293
PHASE1_TRAIN,2016-08-04,7,7,1,0.7154,1.5064,0.3892
PHASE1_TRAIN,2017-02-10,7,7,1,0.7137,1.5964,0.3653
PHASE1_TRAIN,2017-01-25,7,7,1,0.7132,1.5474,0.3603
PHASE1_TRAIN,2016-08-12,7,7,1,0.7131,1.4504,0.3943
PHASE1_TRAIN,2016-11-10,10,10,1,0.7111,1.2469,0.3605
PHASE1_TRAIN,2016-09-19,7,7,1,0.7095,1.4627,0.3733
PHASE1_TRAIN,2016-08-19,7,7,1,0.7094,1.4965,0.3796
PHASE1_TRAIN,2016-08-09,7,7,1,0.7084,1.1214,0.3611
PHASE1_TRAIN,2016-09-30,7,7,1,0.7081,1.1615,0.3704
PHASE1_TRAIN,2016-10-10,7,7,1,0.7078,1.4224,0.3736
PHASE1_TRAIN,2016-09-22,7,7,1,0.7075,1.4941,0.3831
PHASE1_TRAIN,2016-08-22,7,7,1,0.7072,1.1725,0.3485
PHASE1_TRAIN,2016-09-30,7,7,1,0.7066,1.5038,0.3681
PHASE1_TRAIN,2016-11-17,7,7,1,0.7066,1.608,0.3554
PHASE1_TRAIN,2016-12-29,7,7,1,0.7063,1.4214,0.3565
PHASE1_TRAIN,2017-01-05,7,7,1,0.7062,1.576,0.3609
PHASE1_TRAIN,2019-01-22,7,7,1,0.7044,1.7039,0.3538
PHASE1_TRAIN,2017-06-08,7,7,1,0.7037,1.6446,0.3638
PHASE1_TRAIN,2016-08-29,7,7,1,0.7025,0.9147,0.3585
PHASE1_TRAIN,2016-08-15,7,7,1,0.7024,1.3336,0.339
PHASE1_TRAIN,2018-02-06,10,10,1,0.7016,1.5856,0.37
PHASE1_TRAIN,2016-11-03,7,7,1,0.7008,1.6131,0.3551
PHASE1_TRAIN,2020-12-09,7,7,1,0.6996,1.76,0.3481
PHASE1_TRAIN,2016-09-08,9,9,1,0.6995,1.4317,0.3765
PHASE1_TRAIN,2016-08-12,7,7,1,0.6985,1.1071,0.359
PHASE1_TRAIN,2016-10-03,7,7,1,0.6984,1.5678,0.3743
PHASE1_TRAIN,2020-06-01,7,7,1,0.6976,1.56,0.351
PHASE1_TRAIN,2016-09-29,7,7,1,0.6973,1.4065,0.3767
PHASE1_TRAIN,2016-11-21,7,7,1,0.697,1.457,0.3508
PHASE1_TRAIN,2017-02-07,7,7,1,0.6965,1.6377,0.3618
PHASE1_TRAIN,2016-09-26,7,7,1,0.6964,1.5679,0.3846
PHASE1_TRAIN,2019-07-18,7,7,1,0.6964,1.6911,0.3533
PHASE1_TRAIN,2017-06-07,7,7,1,0.6963,1.6555,0.3636
PHASE1_TRAIN,2016-09-28,7,7,1,0.696,1.5187,0.3754
PHASE1_TRAIN,2017-02-06,7,7,1,0.6951,1.6468,0.3616
PHASE1_TRAIN,2022-03-04,7,7,1,0.6946,1.7517,0.3539
PHASE1_TRAIN,2016-09-29,7,7,1,0.6945,1.6205,0.3745
PHASE1_TRAIN,2020-12-10,7,7,1,0.6944,1.7814,0.3481
PHASE1_TRAIN,2017-08-09,7,7,1,0.6942,1.6835,0.3627
PHASE1_TRAIN,2016-08-18,7,7,1,0.6933,0.9379,0.3535
PHASE1_TRAIN,2018-04-23,7,7,1,0.693,1.6887,0.3621
PHASE1_TRAIN,2016-08-04,7,7,1,0.693,1.1106,0.3419
PHASE1_TRAIN,2016-10-06,7,7,1,0.6927,1.3439,0.3728
PHASE1_TRAIN,2017-02-09,7,7,1,0.6924,1.659,0.3623
PHASE1_TRAIN,2016-08-18,7,7,1,0.6921,1.4958,0.3777
PHASE1_TRAIN,2018-03-20,7,7,1,0.6918,1.7678,0.3621
PHASE1_TRAIN,2016-11-03,7,7,1,0.6918,1.4562,0.3579
PHASE1_TRAIN,2016-09-27,7,7,1,0.6916,1.3894,0.3728
PHASE1_TRAIN,2016-08-19,7,7,1,0.691,1.2917,0.3657
PHASE1_TRAIN,2016-08-18,7,7,1,0.6906,1.505,0.3473
PHASE1_TRAIN,2021-04-29,7,7,1,0.6905,1.7699,0.3511
PHASE1_TRAIN,2016-12-27,4,4,1,0.6905,1.2652,0.3568
PHASE1_TRAIN,2019-01-23,7,7,1,0.6901,1.7611,0.3539
PHASE1_TRAIN,2016-08-10,7,7,1,0.6898,1.3486,0.3277
PHASE1_TRAIN,2018-03-21,7,7,1,0.6895,1.7743,0.3621
PHASE1_TRAIN,2016-08-09,7,7,1,0.6884,1.4691,0.35
PHASE1_TRAIN,2016-07-25,5,5,1,0.6883,1.0394,0.3962
PHASE1_TRAIN,2016-08-19,7,7,1,0.6882,1.5908,0.3443
PHASE1_TRAIN,2017-11-10,7,7,1,0.6882,1.7169,0.3654
PHASE1_TRAIN,2016-11-18,7,7,1,0.6881,1.6299,0.3579
PHASE1_TRAIN,2016-11-03,7,7,1,0.6876,1.5475,0.3579
PHASE1_TRAIN,2017-03-10,7,7,1,0.6876,1.6328,0.3663
PHASE1_TRAIN,2016-11-18,7,7,1,0.6868,1.6697,0.3567
PHASE1_TRAIN,2019-09-20,7,7,1,0.6868,1.765,0.352
PHASE1_TRAIN,2017-08-10,7,7,1,0.6862,1.7253,0.3628
PHASE1_TRAIN,2016-08-08,7,7,1,0.6859,1.2042,0.381
PHASE1_TRAIN,2016-10-12,7,7,1,0.6848,1.5792,0.3583
PHASE1_TRAIN,2017-02-10,7,7,1,0.6847,1.5992,0.3538
PHASE1_TRAIN,2016-12-15,7,7,1,0.6844,1.7057,0.3514
PHASE1_TRAIN,2017-06-05,7,7,1,0.6842,1.7008,0.3637
PHASE1_TRAIN,2016-10-10,7,7,1,0.6842,1.6544,0.3769
PHASE1_TRAIN,2019-08-29,7,7,1,0.6835,1.707,0.3529
PHASE1_TRAIN,2019-09-19,7,7,1,0.6833,1.7898,0.352
PHASE1_TRAIN,2016-08-09,7,7,1,0.6831,1.5168,0.3904
PHASE1_TRAIN,2016-11-04,7,7,1,0.682,1.6785,0.3564
PHASE1_TRAIN,2016-12-21,7,7,1,0.6819,1.6724,0.3564
PHASE1_TRAIN,2016-09-27,7,7,1,0.6815,1.5354,0.3699
PHASE1_TRAIN,2022-07-14,7,7,1,0.6815,1.4308,0.3513
PHASE1_TRAIN,2016-08-30,7,7,1,0.6814,0.9891,0.3922
PHASE1_TRAIN,2021-06-01,7,7,1,0.6812,1.7059,0.3511
PHASE1_TRAIN,2019-10-23,7,7,1,0.6809,1.6545,0.3527
PHASE1_TRAIN,2019-10-22,7,7,1,0.6807,1.6649,0.3526
PHASE1_TRAIN,2022-03-03,7,7,1,0.6802,1.8117,0.3539
