phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1
PHASE1_TRAIN,2016-07-25,1,3,0,0.999,0.0131,0.32,0.235,0.2222
PHASE1_TRAIN,2016-08-10,2,3,0,0.9983,0.0196,0.3333,0.25,0.1667
PHASE1_TRAIN,2016-08-15,1,3,0,0.9953,0.047,0.25,0.1429,0.1429
PHASE1_TRAIN,2016-08-23,1,3,0,0.9951,0.0497,0.413,0.254,0.2471
PHASE1_TRAIN,2016-08-26,2,3,0,0.9935,0.0596,0.3333,0.25,0.2433
PHASE1_TRAIN,2016-08-23,1,3,0,0.9834,0.1393,0.3333,0.1609,0.1409
PHASE1_TRAIN,2016-08-11,1,3,0,0.983,0.1426,0.3684,0.248,0.2288
PHASE1_TRAIN,2016-08-19,2,3,0,0.9699,0.2414,0.4038,0.1761,0.1598
PHASE1_TRAIN,2016-08-12,2,3,0,0.9642,0.2746,0.3415,0.1682,0.1497
PHASE1_TRAIN,2016-08-04,1,3,0,0.9576,0.3157,0.3793,0.1726,0.1554
PHASE1_TRAIN,2016-08-11,4,3,0,0.9532,0.337,0.5124,0.1864,0.1714
PHASE1_TRAIN,2016-08-19,1,3,0,0.9517,0.3298,0.3472,0.1705,0.156
PHASE1_TRAIN,2016-07-29,1,3,0,0.9505,0.3625,0.514,0.1869,0.1723
PHASE1_TRAIN,2017-11-23,3,1,0,0.9492,0.3096,0.4978,0.2053,0.1978
PHASE1_TRAIN,2016-07-22,1,3,0,0.9451,0.4059,0.5129,0.1867,0.1724
PHASE1_TRAIN,2016-08-15,1,3,0,0.9429,0.3695,0.4375,0.1859,0.1703
PHASE1_TRAIN,2016-08-19,1,3,0,0.9403,0.3677,0.45,0.1857,0.1684
PHASE1_TRAIN,2016-08-17,1,3,0,0.9388,0.4133,0.4231,0.1763,0.1598
PHASE1_TRAIN,2016-07-27,2,3,0,0.9366,0.4331,0.4251,0.18,0.1633
PHASE1_TRAIN,2016-07-26,1,3,0,0.9314,0.4289,0.452,0.1858,0.1673
PHASE1_TRAIN,2016-09-12,1,2,0,0.929,0.4557,0.5112,0.1856,0.1729
PHASE1_TRAIN,2016-08-10,1,3,0,0.9278,0.46,0.489,0.1852,0.1693
PHASE1_TRAIN,2016-08-25,3,2,0,0.9276,0.4891,0.5227,0.188,0.1738
PHASE1_TRAIN,2016-08-22,2,3,0,0.9269,0.4488,0.5264,0.1823,0.1702
PHASE1_TRAIN,2016-09-12,1,2,0,0.9264,0.49,0.4895,0.1802,0.1682
PHASE1_TRAIN,2016-08-24,2,3,0,0.9232,0.4927,0.5127,0.189,0.1748
PHASE2_UPGRADE,2023-11-18,5,3,0,0.922,0.5223,0.4399,0.2087,0.1983
PHASE1_TRAIN,2016-08-05,1,3,0,0.9211,0.4742,0.4612,0.1864,0.1687
PHASE1_TRAIN,2016-07-26,1,3,0,0.9185,0.5294,0.5422,0.1902,0.1763
PHASE1_TRAIN,2016-09-12,1,2,0,0.9183,0.5187,0.4664,0.1779,0.1668
PHASE1_TRAIN,2016-08-29,4,3,0,0.9166,0.5277,0.4934,0.1874,0.1717
PHASE1_TRAIN,2016-09-12,4,2,0,0.9111,0.5472,0.4928,0.1827,0.1708
PHASE1_TRAIN,2016-08-09,1,3,0,0.9104,0.518,0.5315,0.1837,0.1719
PHASE1_TRAIN,2016-09-13,2,1,0,0.9097,0.5505,0.5201,0.182,0.1689
PHASE1_TRAIN,2016-09-09,2,3,0,0.9078,0.602,0.4921,0.1832,0.1708
PHASE1_TRAIN,2016-08-16,1,3,0,0.9075,0.547,0.3196,0.1571,0.1383
PHASE1_TRAIN,2016-09-12,1,2,0,0.9074,0.5468,0.5023,0.1837,0.171
PHASE1_TRAIN,2016-09-12,1,2,0,0.9067,0.5587,0.4895,0.1827,0.1703
PHASE1_TRAIN,2016-09-14,3,2,0,0.9042,0.5623,0.4888,0.1838,0.1718
PHASE1_TRAIN,2016-09-12,3,2,0,0.8996,0.6048,0.49,0.1843,0.1721
PHASE1_TRAIN,2016-08-11,1,3,0,0.8965,0.5986,0.5295,0.1831,0.1713
PHASE1_TRAIN,2016-11-03,3,2,0,0.8954,0.6441,0.4623,0.1808,0.1713
PHASE1_TRAIN,2016-09-01,3,2,0,0.8943,0.645,0.4786,0.1804,0.1685
PHASE1_TRAIN,2016-12-01,2,4,0,0.8928,0.7013,0.4625,0.1963,0.1907
PHASE1_TRAIN,2016-09-13,3,1,0,0.8906,0.6101,0.5015,0.1833,0.1707
PHASE1_TRAIN,2016-09-16,2,1,0,0.8905,0.6371,0.477,0.1807,0.1689
PHASE1_TRAIN,2016-10-06,1,3,0,0.8903,0.6266,0.5171,0.1852,0.1725
PHASE1_TRAIN,2016-07-29,1,3,0,0.89,0.5921,0.4356,0.1835,0.1667
PHASE1_TRAIN,2016-08-31,3,2,0,0.8898,0.6691,0.4933,0.1838,0.1714
PHASE1_TRAIN,2016-08-22,2,3,0,0.8869,0.6178,0.5086,0.1859,0.1699
PHASE1_TRAIN,2016-09-13,2,1,0,0.8853,0.66,0.4774,0.1807,0.1691
PHASE1_TRAIN,2016-11-10,3,1,0,0.8844,0.6592,0.463,0.1838,0.1753
PHASE1_TRAIN,2016-10-11,2,3,0,0.8842,0.6395,0.5008,0.1838,0.1709
PHASE1_TRAIN,2016-09-13,3,1,0,0.8808,0.6657,0.4888,0.1823,0.1701
PHASE1_TRAIN,2016-09-12,1,2,0,0.8807,0.6776,0.4915,0.1831,0.1707
PHASE1_TRAIN,2017-03-07,3,4,0,0.8798,0.7501,0.4727,0.2075,0.2028
PHASE1_TRAIN,2016-09-30,1,2,0,0.8792,0.6972,0.4914,0.1824,0.17
PHASE1_TRAIN,2016-10-10,1,3,0,0.8791,0.6734,0.4915,0.1833,0.1712
PHASE1_TRAIN,2016-09-13,2,1,0,0.8788,0.6681,0.5104,0.1854,0.1727
PHASE1_TRAIN,2016-07-26,1,3,0,0.8786,0.6593,0.4892,0.1896,0.1733
PHASE1_TRAIN,2016-09-06,1,3,0,0.8777,0.7416,0.4895,0.1802,0.1682
PHASE1_TRAIN,2016-08-17,2,3,0,0.877,0.7283,0.5123,0.1864,0.1711
PHASE1_TRAIN,2016-09-12,1,2,0,0.8767,0.7063,0.4897,0.184,0.1711
PHASE1_TRAIN,2016-09-13,3,1,0,0.876,0.742,0.4934,0.1833,0.1711
PHASE1_TRAIN,2016-08-15,1,3,0,0.8752,0.7113,0.5294,0.1831,0.1712
PHASE1_TRAIN,2016-08-31,3,2,0,0.8736,0.7243,0.4791,0.1806,0.1686
PHASE1_TRAIN,2016-09-13,3,1,0,0.8701,0.7028,0.4891,0.1837,0.1709
PHASE1_TRAIN,2016-07-29,1,3,0,0.8696,0.6824,0.5223,0.1814,0.1687
PHASE1_TRAIN,2017-01-11,1,3,0,0.8687,0.7333,0.4606,0.2039,0.1989
PHASE1_TRAIN,2017-01-06,1,3,0,0.8675,0.7884,0.4603,0.2039,0.1989
PHASE1_TRAIN,2016-10-07,1,3,0,0.8662,0.7667,0.4901,0.1823,0.1705
PHASE1_TRAIN,2016-09-22,3,1,0,0.866,0.736,0.4876,0.1795,0.1675
PHASE1_TRAIN,2016-09-08,1,3,0,0.8645,0.7419,0.4655,0.1789,0.1687
PHASE1_TRAIN,2016-09-27,1,3,0,0.8606,0.762,0.4872,0.1793,0.1673
PHASE1_TRAIN,2017-03-02,2,4,0,0.8589,0.8401,0.4728,0.2048,0.1989
PHASE1_TRAIN,2016-09-09,2,3,0,0.8582,0.7897,0.4949,0.1838,0.1715
PHASE1_TRAIN,2016-09-30,1,2,0,0.8579,0.7795,0.4673,0.1778,0.1665
PHASE1_TRAIN,2017-03-08,3,4,0,0.8538,0.8609,0.4725,0.2074,0.2027
PHASE1_TRAIN,2016-09-09,2,3,0,0.8537,0.7694,0.4935,0.1827,0.1709
