phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc
PHASE1_TRAIN,2016-08-26,6,7,0,0.9846,0.1411,0.3333
PHASE1_TRAIN,2016-08-23,5,7,0,0.9739,0.2317,0.3529
PHASE1_TRAIN,2017-11-23,7,5,0,0.9478,0.4194,0.3677
PHASE1_TRAIN,2021-08-27,4,2,0,0.9475,0.461,0.3514
PHASE1_TRAIN,2016-08-17,3,7,0,0.9472,0.4227,0.3469
PHASE1_TRAIN,2021-08-30,6,2,0,0.934,0.5449,0.3513
PHASE1_TRAIN,2021-08-31,5,2,0,0.9294,0.576,0.3513
PHASE1_TRAIN,2016-08-23,9,7,0,0.9266,0.5197,0.3538
PHASE1_TRAIN,2021-09-01,7,2,0,0.9249,0.6066,0.3513
PHASE1_TRAIN,2021-09-02,4,2,0,0.9245,0.6097,0.3513
PHASE1_TRAIN,2017-11-23,7,8,0,0.9174,0.4463,0.3669
PHASE1_TRAIN,2016-08-02,10,7,0,0.916,0.4293,0.0
PHASE1_TRAIN,2016-08-12,4,7,0,0.9141,0.6155,0.3862
PHASE1_TRAIN,2016-12-01,7,1,0,0.9036,0.7238,0.3563
PHASE1_TRAIN,2016-08-12,4,7,0,0.8962,0.6881,0.343
PHASE1_TRAIN,2016-08-22,8,9,0,0.8901,0.7054,0.3853
PHASE1_TRAIN,2016-08-19,9,7,0,0.8899,0.5787,0.35
PHASE1_TRAIN,2016-12-02,9,1,0,0.8864,0.8131,0.3561
PHASE1_TRAIN,2021-09-03,7,2,0,0.8738,0.84,0.3513
PHASE1_TRAIN,2021-09-07,9,2,0,0.8718,0.8508,0.3513
PHASE1_TRAIN,2016-08-15,5,7,0,0.8701,0.8201,0.3548
PHASE1_TRAIN,2021-09-08,7,2,0,0.8684,0.8728,0.3513
PHASE1_TRAIN,2016-08-09,6,7,0,0.8655,0.8756,0.3446
PHASE1_TRAIN,2021-09-09,10,2,0,0.8596,0.9343,0.3513
PHASE1_TRAIN,2016-08-18,4,7,0,0.8573,0.7114,0.3465
PHASE1_TRAIN,2017-03-02,10,1,0,0.855,0.991,0.3671
PHASE1_TRAIN,2016-08-19,5,7,0,0.852,0.9381,0.3458
PHASE1_TRAIN,2022-09-27,9,2,0,0.8495,1.0581,0.3497
PHASE1_TRAIN,2021-09-10,10,2,0,0.8423,1.0309,0.3512
