phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1,prob_vector,expert_weights,expert_preds,expert_conf,feature_oc_return,feature_day_range_pct
PHASE1_TRAIN,2016-08-03,3,4,0,0.4147,2.1221,0.0,0.0,0.0,"[0.189268, 0.098353, 0.12361, 0.414686, 0.174082]","{'sgd': 0.25, 'pa': 0.25, 'gnb': 0.25, 'rule': 0.25}","{'sgd': 1, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.334, 'pa': 0.2911, 'gnb': 0.2, 'rule': 0.9636}",1.881371,0.75256
PHASE1_TRAIN,2016-08-04,3,2,0,0.3094,2.0663,0.0,0.0,0.0,"[0.071757, 0.309381, 0.272668, 0.286798, 0.059397]","{'sgd': 0.23907, 'pa': 0.2828, 'gnb': 0.23907, 'rule': 0.23907}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.7913, 'gnb': 0.2, 'rule': 0.9528}",1.857567,0.758048
PHASE1_TRAIN,2016-08-05,3,3,1,0.517,1.77,0.3333,0.3333,0.1667,"[0.076946, 0.048426, 0.517036, 0.289492, 0.0681]","{'sgd': 0.22731, 'pa': 0.31808, 'gnb': 0.22731, 'rule': 0.22731}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.7663, 'gnb': 0.2, 'rule': 0.9748}",1.925849,0.74687
PHASE1_TRAIN,2016-08-08,3,3,1,0.5491,1.7423,0.5,0.5,0.2222,"[0.058373, 0.081832, 0.549141, 0.25588, 0.054775]","{'sgd': 0.2445, 'pa': 0.34213, 'gnb': 0.20669, 'rule': 0.20669}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.9994, 'pa': 0.7685, 'gnb': 0.2, 'rule': 0.9739}",1.873104,0.754493
PHASE1_TRAIN,2016-08-09,3,3,1,0.5815,1.687,0.6,0.6,0.25,"[0.062584, 0.06832, 0.58155, 0.233491, 0.054054]","{'sgd': 0.26119, 'pa': 0.3655, 'gnb': 0.18665, 'rule': 0.18665}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.7726, 'gnb': 0.2, 'rule': 0.9626}",1.891813,0.755713
PHASE1_TRAIN,2016-08-10,2,3,0,0.6251,1.5895,0.5,0.3,0.2222,"[0.061687, 0.055557, 0.625103, 0.20802, 0.049633]","{'sgd': 0.2772, 'pa': 0.38789, 'gnb': 0.16746, 'rule': 0.16746}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8086, 'gnb': 0.2, 'rule': 0.9476}",1.908933,0.747267
PHASE1_TRAIN,2016-08-11,1,2,0,0.3828,1.98,0.4286,0.2,0.1667,"[0.053644, 0.382789, 0.293543, 0.216426, 0.053598]","{'sgd': 0.2772, 'pa': 0.38789, 'gnb': 0.16746, 'rule': 0.16746}","{'sgd': 2, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.5426, 'gnb': 0.2, 'rule': 0.9733}",1.953488,0.735138
PHASE1_TRAIN,2016-08-12,3,1,0,0.4925,1.9029,0.375,0.1667,0.15,"[0.492467, 0.171382, 0.057589, 0.216768, 0.061794]","{'sgd': 0.26896, 'pa': 0.37636, 'gnb': 0.1922, 'rule': 0.16248}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.4757, 'gnb': 0.2, 'rule': 0.9553}",1.904283,0.730206
PHASE1_TRAIN,2016-08-15,1,3,0,0.378,1.9114,0.3333,0.1667,0.1364,"[0.338143, 0.043562, 0.377999, 0.19831, 0.041985]","{'sgd': 0.26896, 'pa': 0.37636, 'gnb': 0.1922, 'rule': 0.16248}","{'sgd': 1, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.9008, 'gnb': 0.2, 'rule': 0.9634}",1.883714,0.743981
PHASE1_TRAIN,2016-08-16,1,1,1,0.5001,1.868,0.4,0.2778,0.2364,"[0.50005, 0.058044, 0.069786, 0.257992, 0.114128]","{'sgd': 0.29341, 'pa': 0.34708, 'gnb': 0.20967, 'rule': 0.14984}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 0.5813, 'pa': 0.8148, 'gnb': 0.2, 'rule': 0.9614}",1.819507,0.741551
