phase,symbol,date,sample_key,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1,prob_vector,expert_weights,expert_preds,expert_conf,feature_oc_return,feature_day_range_pct
PHASE1_TRAIN,AAL,2016-08-03,AAL|2016-08-03,3,2,0,0.3728,2.0138,0.0,0.0,0.0,"[0.057582, 0.37279, 0.208065, 0.297321, 0.064242]","{'sgd': 0.25, 'pa': 0.25, 'gnb': 0.25, 'rule': 0.25}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.6039, 'gnb': 0.2, 'rule': 0.9397}",-0.002086,0.023596
PHASE1_TRAIN,AAL,2016-08-04,AAL|2016-08-04,3,3,1,0.5387,1.7661,0.5,0.5,0.3333,"[0.066384, 0.067372, 0.538712, 0.262244, 0.065288]","{'sgd': 0.23907, 'pa': 0.2828, 'gnb': 0.23907, 'rule': 0.23907}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8341, 'gnb': 0.2, 'rule': 0.8411}",-0.002967,0.022917
PHASE1_TRAIN,AAL,2016-08-05,AAL|2016-08-05,3,2,0,0.3303,2.0411,0.3333,0.3333,0.25,"[0.256907, 0.330338, 0.046837, 0.288739, 0.077178]","{'sgd': 0.25815, 'pa': 0.30538, 'gnb': 0.21823, 'rule': 0.21823}","{'sgd': 1, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.5148, 'gnb': 0.2, 'rule': 0.9707}",0.014771,0.030277
PHASE1_TRAIN,AAL,2016-08-08,AAL|2016-08-08,3,3,1,0.5043,1.842,0.5,0.5,0.3333,"[0.080521, 0.068514, 0.504295, 0.274172, 0.072498]","{'sgd': 0.25815, 'pa': 0.30538, 'gnb': 0.21823, 'rule': 0.21823}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.6415, 'gnb': 0.2, 'rule': 0.9326}",0.002042,0.022125
PHASE1_TRAIN,AAL,2016-08-09,AAL|2016-08-09,3,3,1,0.4203,2.0706,0.6,0.6,0.375,"[0.13645, 0.107428, 0.420294, 0.247944, 0.087884]","{'sgd': 0.27684, 'pa': 0.32749, 'gnb': 0.19784, 'rule': 0.19784}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.2755, 'gnb': 0.2, 'rule': 0.8177}",0.005848,0.037791
PHASE1_TRAIN,AAL,2016-08-10,AAL|2016-08-10,2,3,0,0.6245,1.5943,0.5,0.3,0.3333,"[0.047871, 0.067977, 0.62455, 0.205605, 0.053997]","{'sgd': 0.29488, 'pa': 0.34883, 'gnb': 0.17814, 'rule': 0.17814}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8256, 'gnb': 0.2, 'rule': 0.8573}",-0.015611,0.037004
PHASE1_TRAIN,AAL,2016-08-11,AAL|2016-08-11,1,3,0,0.4624,1.9602,0.4286,0.2,0.2,"[0.10617, 0.071509, 0.462417, 0.265137, 0.094768]","{'sgd': 0.29488, 'pa': 0.34883, 'gnb': 0.17814, 'rule': 0.17814}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.9992, 'pa': 0.3734, 'gnb': 0.2, 'rule': 0.9582}",0.014244,0.024076
PHASE1_TRAIN,AAL,2016-08-12,AAL|2016-08-12,3,4,0,0.3031,2.2209,0.375,0.1667,0.1364,"[0.223655, 0.220359, 0.085307, 0.303099, 0.167579]","{'sgd': 0.28558, 'pa': 0.33782, 'gnb': 0.20408, 'rule': 0.17252}","{'sgd': 1, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 0.2511, 'pa': 0.3127, 'gnb': 0.2, 'rule': 0.8093}",0.002012,0.01463
PHASE1_TRAIN,AAL,2016-08-15,AAL|2016-08-15,1,1,1,0.3619,2.051,0.4444,0.3333,0.303,"[0.36194, 0.051713, 0.105689, 0.312709, 0.16795]","{'sgd': 0.28558, 'pa': 0.33782, 'gnb': 0.20408, 'rule': 0.17252}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 0.3333, 'pa': 0.6074, 'gnb': 0.2, 'rule': 0.8454}",0.024857,0.03206
PHASE1_TRAIN,AAL,2016-08-16,AAL|2016-08-16,1,1,1,0.6708,1.4907,0.5,0.3889,0.3364,"[0.670806, 0.046874, 0.049505, 0.171859, 0.060956]","{'sgd': 0.29341, 'pa': 0.34708, 'gnb': 0.20967, 'rule': 0.14984}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8754, 'gnb': 0.2, 'rule': 0.7495}",0.03167,0.032057
PHASE1_TRAIN,AAL,2016-08-17,AAL|2016-08-17,3,1,0,0.3534,2.1033,0.4545,0.3651,0.2917,"[0.353392, 0.072893, 0.289337, 0.186586, 0.097792]","{'sgd': 0.30037, 'pa': 0.35531, 'gnb': 0.21465, 'rule': 0.12967}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.4392, 'gnb': 0.2, 'rule': 0.7168}",-0.002723,0.015292
PHASE1_TRAIN,AAL,2016-08-18,AAL|2016-08-18,3,3,1,0.4582,1.9606,0.5,0.3889,0.3095,"[0.240033, 0.070467, 0.458153, 0.170502, 0.060845]","{'sgd': 0.30037, 'pa': 0.35531, 'gnb': 0.21465, 'rule': 0.12967}","{'sgd': 1, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.7267, 'gnb': 0.2, 'rule': 0.853}",0.005764,0.017604
PHASE1_TRAIN,AAL,2016-08-19,AAL|2016-08-19,3,3,1,0.6534,1.5773,0.5385,0.4074,0.3229,"[0.073499, 0.062864, 0.65344, 0.154414, 0.055783]","{'sgd': 0.28203, 'pa': 0.39466, 'gnb': 0.20155, 'rule': 0.12176}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8155, 'gnb': 0.2, 'rule': 0.8229}",0.004673,0.017483
PHASE1_TRAIN,AAL,2016-08-22,AAL|2016-08-22,2,3,0,0.6744,1.5113,0.5,0.4074,0.3137,"[0.04376, 0.089524, 0.674439, 0.140577, 0.051699]","{'sgd': 0.29688, 'pa': 0.41543, 'gnb': 0.17935, 'rule': 0.10834}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.8048, 'gnb': 0.2, 'rule': 0.8278}",-0.006348,0.017222
PHASE1_TRAIN,AAL,2016-08-23,AAL|2016-08-23,3,3,1,0.5142,1.8916,0.5333,0.4222,0.3246,"[0.063722, 0.186354, 0.514232, 0.169434, 0.066258]","{'sgd': 0.29688, 'pa': 0.41543, 'gnb': 0.17935, 'rule': 0.10834}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.9881, 'pa': 0.4402, 'gnb': 0.2, 'rule': 0.958}",0.001377,0.013755
PHASE1_TRAIN,AAL,2016-08-24,AAL|2016-08-24,1,2,0,0.44,2.0572,0.5,0.3667,0.3008,"[0.143024, 0.439978, 0.201903, 0.148633, 0.066462]","{'sgd': 0.3107, 'pa': 0.43478, 'gnb': 0.15867, 'rule': 0.09585}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.3856, 'gnb': 0.2, 'rule': 0.8632}",0.019161,0.026703
PHASE1_TRAIN,AAL,2016-08-25,AAL|2016-08-25,3,1,0,0.5843,1.7871,0.4706,0.3485,0.275,"[0.58432, 0.101312, 0.112793, 0.14025, 0.061325]","{'sgd': 0.30194, 'pa': 0.42251, 'gnb': 0.1824, 'rule': 0.09315}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.5673, 'gnb': 0.2, 'rule': 0.8536}",0.006027,0.016885
PHASE1_TRAIN,AAL,2016-08-26,AAL|2016-08-26,2,2,1,0.5263,1.8658,0.5,0.4596,0.3464,"[0.048994, 0.5263, 0.18804, 0.155116, 0.081549]","{'sgd': 0.30194, 'pa': 0.42251, 'gnb': 0.1824, 'rule': 0.09315}","{'sgd': 2, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.4153, 'gnb': 0.2, 'rule': 0.7985}",-0.016291,0.022633
PHASE1_TRAIN,AAL,2016-08-29,AAL|2016-08-29,2,2,1,0.7003,1.437,0.5263,0.5152,0.3861,"[0.041694, 0.700258, 0.069912, 0.133031, 0.055105]","{'sgd': 0.31538, 'pa': 0.44132, 'gnb': 0.16106, 'rule': 0.08225}","{'sgd': 2, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 0.9999, 'pa': 0.7923, 'gnb': 0.2, 'rule': 0.9497}",-0.017709,0.028451
PHASE1_TRAIN,AAL,2016-08-30,AAL|2016-08-30,1,1,1,0.5508,1.7996,0.55,0.5485,0.4111,"[0.550803, 0.02874, 0.12137, 0.182669, 0.116418]","{'sgd': 0.32771, 'pa': 0.45857, 'gnb': 0.14147, 'rule': 0.07225}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 0.25, 'pa': 0.9504, 'gnb': 0.2, 'rule': 0.9197}",0.051675,0.05764
PHASE1_TRAIN,AAPL,2016-07-22,AAPL|2016-07-22,3,1,0,0.8131,1.0398,0.5238,0.5333,0.3903,"[0.813051, 0.041146, 0.030613, 0.085681, 0.029508]","{'sgd': 0.33141, 'pa': 0.46375, 'gnb': 0.14307, 'rule': 0.06177}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.9763, 'gnb': 0.2, 'rule': 0.9239}",-0.002026,0.006496
PHASE1_TRAIN,AAPL,2016-07-25,AAPL|2016-07-25,2,3,0,0.3978,1.8439,0.5,0.5,0.3727,"[0.393819, 0.066446, 0.397799, 0.098871, 0.043064]","{'sgd': 0.33141, 'pa': 0.46375, 'gnb': 0.14307, 'rule': 0.06177}","{'sgd': 3, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.7867, 'gnb': 0.2, 'rule': 0.9076}",-0.015406,0.019765
PHASE1_TRAIN,AAPL,2016-07-26,AAPL|2016-07-26,1,1,1,0.4976,1.6278,0.5217,0.5222,0.3902,"[0.497578, 0.361426, 0.029394, 0.081758, 0.029844]","{'sgd': 0.33141, 'pa': 0.46375, 'gnb': 0.14307, 'rule': 0.06177}","{'sgd': 2, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.9941, 'gnb': 0.2, 'rule': 0.8457}",0.063446,0.07477
PHASE1_TRAIN,AAPL,2016-07-27,AAPL|2016-07-27,3,1,0,0.7252,1.3729,0.5,0.5094,0.3733,"[0.725204, 0.077493, 0.039985, 0.104033, 0.053284]","{'sgd': 0.29829, 'pa': 0.49378, 'gnb': 0.15233, 'rule': 0.05559}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.7973, 'gnb': 0.2, 'rule': 0.9164}",0.015413,0.027265
PHASE1_TRAIN,AAPL,2016-07-28,AAPL|2016-07-28,1,3,0,0.4827,1.7266,0.48,0.4777,0.3583,"[0.345604, 0.042416, 0.482748, 0.089693, 0.039539]","{'sgd': 0.29829, 'pa': 0.49378, 'gnb': 0.15233, 'rule': 0.05559}","{'sgd': 1, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.9133, 'gnb': 0.2, 'rule': 0.9063}",0.010735,0.017989
PHASE1_TRAIN,AAPL,2016-07-29,AAPL|2016-07-29,3,1,0,0.3253,2.1347,0.4615,0.4667,0.345,"[0.325311, 0.216535, 0.278015, 0.113996, 0.066144]","{'sgd': 0.32599, 'pa': 0.45617, 'gnb': 0.16648, 'rule': 0.05136}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 0.3333, 'pa': 0.3996, 'gnb': 0.2, 'rule': 0.9411}",0.002404,0.008345
PHASE1_TRAIN,AAPL,2016-08-01,AAPL|2016-08-01,1,1,1,0.5558,1.7588,0.4815,0.4845,0.3589,"[0.555847, 0.062491, 0.232269, 0.09777, 0.051623]","{'sgd': 0.32563, 'pa': 0.45567, 'gnb': 0.1663, 'rule': 0.0524}","{'sgd': 1, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.4349, 'gnb': 0.2, 'rule': 0.8858}",0.017146,0.017327
PHASE1_TRAIN,AAPL,2016-08-02,AAPL|2016-08-02,2,2,1,0.6432,1.6401,0.5,0.5179,0.3839,"[0.078399, 0.643156, 0.070527, 0.125113, 0.082805]","{'sgd': 0.35338, 'pa': 0.41803, 'gnb': 0.18047, 'rule': 0.04812}","{'sgd': 2, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.5981, 'gnb': 0.2, 'rule': 0.8842}",-0.015,0.019826
PHASE1_TRAIN,AAPL,2016-08-03,AAPL|2016-08-03,1,1,1,0.6784,1.5063,0.5172,0.5317,0.395,"[0.678381, 0.052404, 0.134726, 0.088397, 0.046091]","{'sgd': 0.36495, 'pa': 0.43171, 'gnb': 0.15755, 'rule': 0.0458}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.6476, 'gnb': 0.2, 'rule': 0.927}",0.014954,0.015111
PHASE1_TRAIN,AAPL,2016-08-04,AAPL|2016-08-04,3,3,1,0.4799,1.9527,0.5333,0.5444,0.4046,"[0.237651, 0.114725, 0.479935, 0.102877, 0.064812]","{'sgd': 0.36548, 'pa': 0.43233, 'gnb': 0.15778, 'rule': 0.04441}","{'sgd': 3, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.4712, 'gnb': 0.2, 'rule': 0.8753}",0.004363,0.0068
PHASE1_TRAIN,AAPL,2016-08-05,AAPL|2016-08-05,1,1,1,0.8323,0.9645,0.5484,0.5556,0.4137,"[0.832264, 0.030146, 0.031034, 0.076051, 0.030504]","{'sgd': 0.40221, 'pa': 0.40221, 'gnb': 0.14678, 'rule': 0.0488}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.9896, 'gnb': 0.2, 'rule': 0.9355}",0.078073,0.074467
PHASE1_TRAIN,AAPL,2016-08-08,AAPL|2016-08-08,1,3,0,0.6488,1.5443,0.5312,0.5343,0.4022,"[0.180517, 0.047015, 0.648762, 0.08297, 0.040737]","{'sgd': 0.40401, 'pa': 0.40401, 'gnb': 0.14744, 'rule': 0.04454}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.7501, 'pa': 0.781, 'gnb': 0.2, 'rule': 0.9505}",0.007343,0.011719
PHASE1_TRAIN,AAPL,2016-08-09,AAPL|2016-08-09,3,1,0,0.6428,1.6452,0.5152,0.5246,0.3915,"[0.642763, 0.097887, 0.089495, 0.107541, 0.062313]","{'sgd': 0.39039, 'pa': 0.39039, 'gnb': 0.16853, 'rule': 0.05069}","{'sgd': 1, 'pa': 1, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.5558, 'gnb': 0.2, 'rule': 0.907}",0.002398,0.008558
PHASE1_TRAIN,AAPL,2016-08-10,AAPL|2016-08-10,2,2,1,0.3115,2.1335,0.5294,0.5484,0.4094,"[0.040617, 0.311458, 0.254786, 0.218916, 0.174223]","{'sgd': 0.3897, 'pa': 0.3897, 'gnb': 0.16824, 'rule': 0.05237}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3993, 'pa': 0.5613, 'gnb': 0.2, 'rule': 0.8619}",-0.00727,0.010845
PHASE1_TRAIN,AAPL,2016-08-11,AAPL|2016-08-11,3,2,0,0.6572,1.592,0.5143,0.5399,0.3958,"[0.055268, 0.657168, 0.10686, 0.113217, 0.067487]","{'sgd': 0.43027, 'pa': 0.36373, 'gnb': 0.15703, 'rule': 0.04896}","{'sgd': 2, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 0.9911, 'pa': 0.545, 'gnb': 0.2, 'rule': 0.9429}",-0.001756,0.009997
